TrackmanAbbreviation,Stadium,Level,League
PEN_QUA,UofPennsylvania,D1,IVY
PEP_WAV,704EddieDField,D1,WCC
PIT_PAN,DurhamAthleticPark,D1,ACC
POR_PIL,RonTonkinField,D1,WCC
PRE_BLH,FluorField,D1,BSOU
PRI_TIG,UofPennsylvania,D1,IVY
PUR_BOI,PurdueUniversity,D1,BIG10
QUI_BOB,BrooksField,D1,CAA
QUN_RYL,IntimidatorStadium,D1,AMER
RAD_HIG,CarterMemorial,D1,BSOU
RHO_RAM,BillBeckField,D1,A10
RIC_OWL,RiceUniversity,D1,CUSA
RIC_SPI,PittFieldUOR,D1,A10
RUT_SCA,TDAmeritrade,D1,BIG10
SAC_HOR,HohokamStadium,D1,WAC
SAL_JAG,USouthAlabama,D1,SBELT
SAM_BEA,HohokamStadium,D1,WAC
SAM_BUL,SamfordUniversity,D1,SOCON
SAN_AZT,TonyGwynnStadium,D1,MW
SAN_BRO,StephenSchottBBS,D1,WCC
SAN_DON,BenedettiDiamond,D1,WCC
SAN_GAU,CaesarUyesaka,D1,BW
SAN_TOR,UofSanDiego,D1,WCC
SEA_RED,SeattleUniversity,D1,WAC
SEA_UNI,SeattleUniversity,D1,WAC
SET_PIR,OwenTCarrollField,D1,BEAST
SIU_SAL,Hammons,D1,MVC
SOU_COU,RoyELeeField,D1,OVC
SOU_GAM,UofSouthCarolina,D1,SEC
SOU_GOL,HillDensonField,D1,CUSA
SOU_LIO,AlumniField,D1,SLAND
SOU_RED,SEMissouriState,D1,OVC
SOU_TRO,DedeauxField,D1,PAC12
STA_CAR,KleinField,D1,PAC12
STE_HAT,MelchingFielda,D1,ASUN
STJ_RED,JackKaiser,D1,BEAST
STM_GAE,RonaldGallagherStad,D1,WCC
TCU_HFG,TCU,D1,BIG12
TEN_VOL,SmokiesStadium,D1,SEC
TEX_AGG,Olsen,D1,SEC
TEX_BOB,Riverwalk,D1,SBELT
TEX_ISL,AbileneChristian,D1,SLAND
TEX_LON,Bricktown,D1,BIG12
TEX_RAI,Arlington,D1,BIG12
TRO_TRJ,Riverwalk,D1,SBELT
TUL_GRE,Tulane,D1,AMER
UAB_BLA,KennesawState,D1,CUSA
UCF_KNI,JohnEulianoPark,D1,BIG12
UCO_HUS,USFBaseballStadium,D1,BEAST
UIC_FLA,CurtisGrandisonStadium,D1,MVC
ULM_WAR,WarHawkField,D1,SBELT
UMA_AMH,HarringtonVillage,D1,ACC
UNC_SEA,BrooksField,D1,CAA
UNC_SPA,UNCGreensboro,D1,SOCON
UNL_REB,EarlEWilsonStadium,D1,MW
UNO_MAV,TalAndersonField,D1,SUM
USC_UPS,FluorField,D1,ACC
USF_BUL,USFBaseballStadium,D1,AMER
UTA_UTE,SmithsBallparkUT,D1,PAC12
UTA_WOL,UCCUBallpark,D1,WAC
UTR_VAQ,HohokamStadium,D1,WAC
UTS_ROA,RiceUniversity,D1,CUSA
VAL_CRU,EmoryGBauerField,D1,MVC
VAN_COM,Vanderbilt,D1,SEC
VCU_RAM,TheDiamond,D1,A10
